Horario;Conta;Instrumento;Lado;Qtd Ordem;Qtd Execucao Atual;Qtd Executada Acumulada;Preco Executado;Notional Ordem;Notional Exec Atual;Notional Exec Acumulada;Entering Trader
2025-06-29T16:20:57.331066100;ACC002;RENT3;2;9353;9353;9353;25.27;236350.31;236350.31;236350.31;TRADER396
2025-06-29T16:20:57.331066100;ACC007;WEGE3;2;2867;2867;2867;15.45;44295.15;44295.15;44295.15;TRADER74
2025-06-29T16:20:57.331066100;ACC009;BBAS3;2;3094;3094;3094;19.39;59992.66;59992.66;59992.66;TRADER733
2025-06-29T16:20:57.331066100;ACC009;RENT3;2;7598;7598;7598;15.10;114729.80;114729.80;114729.80;TRADER983
2025-06-29T16:20:57.331066100;ACC008;VALE3;1;1198;1198;1198;27.37;32789.26;32789.26;32789.26;TRADER74
2025-06-29T16:20:57.331066100;ACC004;WEGE3;1;9035;9035;9035;21.40;193349.00;193349.00;193349.00;TRADER901
2025-06-29T16:20:57.331066100;ACC009;PETR4;2;3003;3003;3003;16.65;49999.95;49999.95;49999.95;TRADER984
2025-06-29T16:20:57.331066100;ACC001;SUZB3;2;5169;5169;5169;16.20;83737.80;83737.80;83737.80;TRADER33
2025-06-29T16:20:57.331066100;ACC008;BBAS3;2;4625;4625;4625;27.31;126308.75;126308.75;126308.75;TRADER439
2025-06-29T16:20:57.331066100;ACC010;BBAS3;1;7795;7795;7795;12.27;95644.65;95644.65;95644.65;TRADER253
2025-06-29T16:20:57.331066100;ACC008;BBAS3;2;7589;7589;7589;26.98;204751.22;204751.22;204751.22;TRADER209
2025-06-29T16:20:57.331066100;ACC010;VALE3;2;1984;1984;1984;20.12;39918.08;39918.08;39918.08;TRADER357
2025-06-29T16:20:57.331066100;ACC009;RENT3;1;8236;8236;8236;16.83;138611.88;138611.88;138611.88;TRADER315
2025-06-29T16:20:57.331066100;ACC008;BBDC4;2;5092;5092;5092;27.89;142015.88;142015.88;142015.88;TRADER454
2025-06-29T16:20:57.331066100;ACC002;BBAS3;1;1159;1159;1159;13.51;15658.09;15658.09;15658.09;TRADER936
2025-06-29T16:20:57.331066100;ACC004;RENT3;2;9426;9426;9426;11.81;111321.06;111321.06;111321.06;TRADER989
2025-06-29T16:20:57.331066100;ACC004;ABEV3;1;9803;9803;9803;23.39;229292.17;229292.17;229292.17;TRADER690
2025-06-29T16:20:57.331066100;ACC009;WEGE3;2;5514;5514;5514;15.43;85081.02;85081.02;85081.02;TRADER667
2025-06-29T16:20:57.331066100;ACC003;RENT3;2;3679;3679;3679;24.40;89767.60;89767.60;89767.60;TRADER666
2025-06-29T16:20:57.331066100;ACC001;RADL3;1;2220;2220;2220;23.72;52658.40;52658.40;52658.40;TRADER141
2025-06-29T16:20:57.331066100;ACC001;SUZB3;2;4225;4225;4225;11.18;47235.50;47235.50;47235.50;TRADER341
2025-06-29T16:20:57.331066100;ACC006;VALE3;2;8959;8959;8959;12.02;107687.18;107687.18;107687.18;TRADER236
2025-06-29T16:20:57.331066100;ACC006;RENT3;2;6571;6571;6571;27.96;183725.16;183725.16;183725.16;TRADER455
